neighborhood,latitude,longitude
SANTOS DUMONT,-20.301543,-40.3188124
SANTA CECÍLIA,-20.303126,-40.322154
SANTA CLARA,-20.318717,-40.3463263
ITARARÉ,-20.296276,-40.3077143
JESUS DE NAZARETH,-20.318343,-40.3033953
HORTO,-20.309905,-40.3114733
ILHA DO PRÍNCIPE,-20.322353,-40.3507323
CARATOÍRA,-20.3152692,-40.3532984
ANDORINHAS,-20.288559,-40.3064222
PRAIA DO SUÁ,-20.312954,-40.2994052
GURIGICA,-20.306864,-40.3051823
BENTO FERREIRA,-20.31611,-40.3081702
PARQUE MOSCOSO,-20.3202052,-40.3424172
MARUÍPE,-20.297772,-40.3234137
DO MOSCOSO,-20.315473,-40.3436752
ENSEADA DO SUÁ,-20.3152961,-40.2929501